rowid,sampleid,age,gender
0,030769,sixties,male
1,115919,seventies,male
2,101491,thirties,female
3,089135,thirties,male
4,031123,twenties,male
5,039122,twenties,male
6,110780,twenties,male
7,040752,thirties,male
8,099205,thirties,male
9,076469,fourties,male
10,085212,thirties,male
11,142052,thirties,male
12,007838,teens,male
13,096929,twenties,male
14,059068,thirties,male
15,009408,fourties,male
16,011558,thirties,female
17,128057,fifties,male
18,123302,fifties,male
19,014570,twenties,male
20,121650,twenties,male
21,090689,fifties,male
22,138897,twenties,male
23,008810,thirties,male
24,128334,fifties,male
25,075819,sixties,female
26,111761,thirties,male
27,031007,thirties,male
28,036895,teens,male
29,054325,fourties,male
30,106293,thirties,female
31,037429,thirties,female
32,135357,fifties,female
33,085074,twenties,male
34,085940,fourties,male
35,118979,fourties,male
36,146178,twenties,male
37,090539,twenties,female
38,065895,teens,male
39,129462,fourties,male
40,091249,thirties,female
41,031331,fourties,male
42,132757,twenties,male
43,075715,fifties,male
44,062676,fourties,male
45,066039,fourties,male
46,096098,fifties,female
47,062343,fifties,male
48,093134,twenties,male
49,106638,thirties,male
50,059607,thirties,male
51,103794,thirties,male
52,089814,thirties,male
53,040704,sixties,female
54,105536,twenties,male
55,023712,thirties,female
56,066253,thirties,male
57,012073,thirties,male
58,049037,thirties,male
59,018681,twenties,male
60,035010,teens,female
61,091133,thirties,female
62,008028,twenties,male
63,070620,fourties,male
64,043092,seventies,male
65,048912,fourties,female
66,055780,thirties,male
67,113572,twenties,male
68,062576,fifties,female
69,093805,fourties,male
70,005813,seventies,male
71,107469,twenties,male
72,070899,twenties,male
73,119615,thirties,male
74,119338,twenties,male
75,044226,thirties,male
76,129513,thirties,male
77,065851,thirties,female
78,087790,fourties,male
79,033451,twenties,male
80,061278,twenties,male
81,014168,twenties,male
82,114775,twenties,male
83,122033,thirties,male
84,091972,sixties,male
85,108995,teens,male
86,118650,twenties,male
87,015787,twenties,male
88,137083,twenties,male
89,039624,twenties,male
90,087898,fifties,male
91,097904,thirties,male
92,033587,twenties,male
93,016609,fifties,male
94,062331,twenties,male
95,100994,twenties,male
96,021623,twenties,male
97,113442,fifties,male
98,119891,twenties,male
99,045980,sixties,male
100,026620,fifties,male
101,041750,twenties,male
102,059841,thirties,male
103,082486,twenties,male
104,090614,fifties,male
105,068726,teens,female
106,027338,sixties,male
107,060994,fifties,male
108,070105,sixties,male
109,134128,fifties,female
110,018768,twenties,female
111,057196,fourties,male
112,097758,thirties,male
113,142911,fourties,male
114,078799,sixties,male
115,145910,teens,female
116,142024,twenties,male
117,121167,twenties,male
118,017759,twenties,male
119,028623,twenties,male
120,057631,fifties,male
121,006843,fifties,male
122,085562,fourties,male
123,147185,fourties,male
124,021888,thirties,male
125,144848,thirties,male
126,056686,teens,male
127,032630,thirties,male
128,092314,thirties,male
129,031267,fourties,male
130,008264,fourties,male
131,019683,twenties,male
132,067578,twenties,female
133,004978,twenties,male
134,024880,thirties,male
135,045376,twenties,male
136,147640,twenties,male
137,021685,thirties,male
138,131237,twenties,male
139,108486,thirties,male
140,071092,twenties,male
141,015923,thirties,male
142,027132,fourties,male
143,071783,twenties,male
144,009024,fourties,male
145,000552,thirties,male
146,071061,thirties,male
147,082278,thirties,male
148,060809,twenties,female
149,025672,fourties,female
150,141574,sixties,female
151,040382,twenties,male
152,005432,sixties,male
153,050221,thirties,male
154,093883,twenties,male
155,021629,teens,male
156,091337,twenties,male
157,014826,fourties,male
158,046825,twenties,male
159,132470,twenties,male
160,079491,fourties,female
161,133386,fourties,male
162,058336,fourties,male
163,145995,teens,male
164,009174,twenties,male
165,146755,thirties,male
166,063038,seventies,male
167,039632,thirties,male
168,031773,twenties,male
169,066139,thirties,male
170,138505,twenties,male
171,061292,twenties,male
172,103272,fifties,female
173,037300,fourties,male
174,127454,thirties,female
175,146734,fourties,female
176,131204,thirties,male
177,035950,twenties,male
178,039760,fourties,male
179,030377,fourties,male
180,123324,fourties,male
181,024181,fifties,male
182,089240,fourties,female
183,128885,twenties,male
184,092703,thirties,male
185,017644,fourties,male
186,057243,thirties,male
187,024903,thirties,female
188,054219,fourties,male
189,011148,thirties,female
190,097454,twenties,male
191,121159,fourties,male
192,021561,fourties,female
193,127496,twenties,male
194,079618,fourties,male
195,102260,fifties,female
196,072450,sixties,male
197,065809,fourties,male
198,018624,sixties,male
199,044037,twenties,male
200,131513,teens,male
201,140261,sixties,male
202,105571,thirties,male
203,096204,sixties,male
204,085430,thirties,female
205,012427,twenties,male
206,007097,thirties,male
207,072793,teens,male
208,111321,fourties,male
209,132402,thirties,male
210,081007,twenties,male
211,109810,teens,male
212,027951,twenties,male
213,114955,fifties,male
214,128486,fourties,female
215,145130,twenties,male
216,021379,teens,female
217,007321,thirties,male
218,141052,fifties,female
219,145433,thirties,male
220,075724,fourties,male
221,059314,fourties,male
222,013041,sixties,male
223,075661,twenties,male
224,002019,fifties,female
225,100507,thirties,female
226,049849,fourties,male
227,061956,fifties,male
228,137863,teens,female
229,012284,thirties,male
230,025777,twenties,male
231,007629,twenties,male
232,134589,fifties,female
