rowid,sampleid,age,gender
0,047015,fifties,male
1,041542,sixties,male
2,113136,fourties,female
3,116595,thirties,female
4,116109,thirties,female
5,144945,twenties,female
6,008545,twenties,female
7,046779,fifties,female
8,029952,twenties,female
9,081916,fourties,female
10,126919,seventies,male
11,069072,thirties,male
12,140714,fourties,male
13,127481,fifties,male
14,040488,fourties,female
15,039030,seventies,female
16,018197,seventies,male
17,085013,thirties,female
18,091453,thirties,female
19,054980,fourties,female
20,141972,teens,female
21,093796,sixties,male
22,056671,teens,female
23,117719,sixties,female
24,004495,thirties,male
25,130241,thirties,male
26,113657,seventies,male
27,046712,thirties,male
28,058272,twenties,male
29,063452,sixties,male
30,053784,sixties,male
31,070992,fifties,female
32,125067,thirties,male
33,108785,fourties,female
34,069652,teens,male
35,132352,twenties,male
36,131511,seventies,female
37,032410,seventies,male
38,002394,seventies,male
39,061598,sixties,female
40,036284,fourties,female
41,130428,sixties,female
42,143643,thirties,female
43,049549,sixties,female
44,006135,twenties,male
45,049716,fifties,female
46,098558,seventies,female
47,060273,teens,male
48,051881,fourties,female
49,145147,twenties,female
50,087718,seventies,male
51,063232,fifties,male
52,145771,seventies,male
53,059396,thirties,male
54,120345,thirties,female
55,117266,twenties,male
56,017870,fourties,male
57,052059,fourties,male
58,002314,teens,female
59,057829,fourties,male
60,114808,twenties,female
61,128420,seventies,female
62,065578,fifties,male
63,124037,fourties,male
64,122642,fourties,female
65,004080,sixties,male
66,106254,seventies,female
67,041574,twenties,male
68,074378,thirties,female
69,124506,sixties,female
70,055770,twenties,male
71,079459,sixties,female
72,089533,fifties,female
73,047147,teens,female
74,078493,teens,female
75,090725,sixties,female
76,024169,thirties,male
77,083151,fourties,female
78,099532,seventies,female
79,071967,twenties,female
80,050685,twenties,female
81,067401,sixties,female
82,104063,teens,male
83,026211,thirties,male
84,031204,seventies,female
85,108034,thirties,female
86,080218,twenties,female
87,027408,teens,male
88,028522,fifties,female
89,054159,teens,male
90,136440,fifties,female
91,122917,thirties,female
92,103595,thirties,male
93,038180,fourties,male
94,073084,twenties,male
95,116868,seventies,male
96,021748,sixties,male
97,128160,fifties,female
98,008747,fifties,female
99,019349,thirties,female
100,041142,thirties,female
101,139566,teens,female
102,038254,fourties,female
103,098402,fifties,female
104,031037,fifties,female
105,109670,twenties,female
106,045678,twenties,male
107,099361,thirties,female
108,143386,teens,female
109,121495,seventies,female
110,088013,teens,female
111,092428,fourties,male
112,118150,thirties,male
113,095744,fifties,female
114,066825,teens,male
115,046269,fifties,female
116,063103,twenties,male
117,082277,thirties,female
118,044084,twenties,female
119,047076,fifties,female
120,142904,sixties,male
121,018907,twenties,female
122,026429,sixties,male
123,072757,teens,female
124,060397,sixties,male
125,138411,teens,male
126,141765,fourties,male
127,009326,teens,female
128,102319,fifties,male
129,125693,seventies,male
130,123666,thirties,male
131,131879,seventies,male
132,144735,seventies,male
133,096226,fourties,male
134,091683,sixties,female
135,135400,fourties,male
136,095886,fourties,female
137,029918,fifties,male
138,114920,seventies,female
139,062613,sixties,male
140,056291,teens,male
141,084772,fourties,male
142,071070,sixties,male
143,127698,fourties,female
144,033198,fourties,male
145,101496,teens,male
146,095360,fourties,female
147,135127,fourties,female
148,110552,thirties,male
149,096490,fifties,female
150,006665,thirties,female
151,065749,thirties,male
152,143402,sixties,male
153,128997,thirties,female
154,086310,twenties,male
155,118142,teens,female
156,095819,thirties,male
157,081455,seventies,male
158,143260,seventies,female
159,052451,seventies,female
160,075612,fifties,male
161,043080,fourties,female
162,113884,twenties,female
163,126587,fifties,female
164,117461,seventies,male
165,024595,sixties,male
166,083901,sixties,female
167,055353,twenties,female
168,006495,sixties,male
169,059209,fourties,male
170,019853,seventies,male
171,043835,thirties,male
172,107845,fourties,female
173,018881,sixties,male
174,036929,twenties,male
175,032933,twenties,male
176,070589,sixties,female
177,005571,twenties,female
178,030436,seventies,female
179,018821,sixties,female
180,098441,fourties,male
181,004986,sixties,female
182,062135,fifties,male
183,134766,fourties,male
184,110999,twenties,female
185,067856,seventies,female
186,031525,teens,female
187,064668,teens,female
188,141709,fourties,female
189,017844,twenties,male
190,030101,twenties,female
191,066045,teens,male
192,107458,sixties,female
193,141862,twenties,female
194,018694,sixties,male
195,037694,seventies,male
196,049970,twenties,male
197,098584,fourties,female
198,027880,twenties,female
199,121363,twenties,female
200,089294,fourties,female
201,115902,twenties,male
202,094257,fourties,female
203,057666,fifties,male
204,135786,fifties,male
205,076588,sixties,female
206,093648,teens,female
207,124051,fifties,female
208,091241,sixties,male
209,097125,seventies,male
210,027325,fifties,male
211,006842,twenties,male
212,136934,thirties,female
213,054551,seventies,female
214,104444,sixties,male
215,017588,sixties,male
216,115267,seventies,male
217,114219,twenties,female
218,055081,fourties,male
219,108039,sixties,female
220,111932,fourties,female
221,100935,seventies,male
222,141524,fourties,male
223,031872,thirties,female
224,009998,fifties,female
225,081794,fourties,female
226,128872,fifties,male
227,087279,sixties,male
228,139242,fifties,female
229,003188,twenties,male
230,003549,sixties,female
231,010349,fourties,male
232,011014,fifties,male
233,023833,fourties,male
234,073525,seventies,male
235,014462,fifties,female
236,030198,twenties,female
237,036254,sixties,male
238,004259,seventies,female
239,129092,seventies,male
240,056015,teens,male
241,100226,teens,male
242,004969,seventies,female
243,099967,sixties,female
244,131834,fifties,female
245,051145,teens,female
246,072021,thirties,female
247,042918,fifties,female
248,035037,seventies,female
249,008824,fourties,female
250,132508,teens,female
251,059973,thirties,male
252,053759,fifties,male
253,013690,seventies,male
254,130536,sixties,female
255,046871,fifties,female
256,054391,fifties,male
257,021617,sixties,male
258,121342,fourties,female
259,101074,seventies,male
260,130616,seventies,female
261,081287,thirties,female
262,056397,teens,male
263,068929,fourties,male
264,103674,fifties,male
265,130922,fourties,female
266,117152,seventies,female
267,027941,fourties,female
268,058635,fifties,female
269,109529,seventies,male
270,141023,seventies,female
271,017699,fourties,female
272,077049,thirties,female
273,056731,seventies,female
274,075755,fifties,female
275,045512,fifties,female
276,107484,twenties,male
277,077001,thirties,male
278,093068,thirties,female
279,022410,twenties,male
280,053245,thirties,male
281,116840,fifties,female
282,004969,seventies,female
283,109707,thirties,female
284,068453,twenties,male
285,048762,sixties,male
286,133985,fourties,male
287,107822,seventies,female
288,012439,fifties,female
289,089958,sixties,female
290,113900,sixties,male
291,022003,fourties,female
292,035037,seventies,female
293,106961,sixties,female
294,011630,teens,male
295,127690,twenties,female
296,104753,teens,male
297,035733,thirties,female
298,026630,fifties,female
299,056575,sixties,female
300,130298,thirties,male
301,097488,sixties,male
302,109699,thirties,male
303,092917,fourties,male
304,079822,thirties,male
305,116830,fourties,male
306,145818,teens,female
307,020836,thirties,male
308,146444,twenties,male
309,101047,seventies,male
310,071622,sixties,female
311,078316,thirties,male
312,091297,thirties,male
313,027874,twenties,male
314,068705,thirties,female
315,101955,teens,female
316,121775,seventies,male
317,058617,thirties,female
318,143871,sixties,male
319,121764,sixties,male
320,037919,thirties,male
321,136591,fifties,male
322,024914,seventies,female
323,077747,seventies,female
324,096928,sixties,male
325,087261,sixties,female
326,062240,thirties,male
327,048246,thirties,female
328,018142,fifties,male
329,024865,fifties,male
330,139769,teens,female
331,011706,thirties,male
332,118871,fourties,male
333,013922,thirties,male
334,045532,fifties,male
335,041312,fourties,male
336,134959,fifties,female
337,105253,fifties,male
338,126409,fourties,male
339,132098,teens,female
340,016180,seventies,female
341,042714,seventies,female
342,036182,fifties,male
343,107681,fifties,female
344,002535,teens,male
345,009680,teens,male
346,064331,seventies,female
347,096124,fourties,female
348,034076,thirties,female
349,099890,thirties,female
350,084177,teens,male
351,062243,sixties,male
352,045134,thirties,female
353,004969,seventies,female
354,119481,teens,female
355,020019,sixties,male
356,041397,teens,female
357,005467,teens,male
358,070765,teens,female
359,101842,seventies,male
360,094955,fourties,female
361,049561,fifties,female
362,084370,seventies,female
363,095513,fourties,female
364,012600,twenties,female
365,074817,fourties,female
366,113565,fourties,female
367,063690,seventies,male
368,038931,fifties,male
369,100428,seventies,female
370,002168,teens,female
371,078281,thirties,female
372,004050,fourties,male
